#r(AU) rdot(AU/day) norm mean_accel
1.050000 -0.003200 49519.000000 0.000000
1.050000 -0.003200 49519.000000 -0.200000
1.050000 -0.003200 49519.000000 0.200000
1.050000 -0.003200 49519.000000 -0.400000
1.050000 -0.003200 49519.000000 0.400000
1.050000 -0.003200 49519.000000 -0.600000
1.050000 0.003400 109499.000000 0.000000
1.050000 0.003400 109499.000000 -0.200000
1.050000 0.003400 109499.000000 0.200000
1.050000 0.003400 109499.000000 -0.400000
1.050000 0.003400 109499.000000 0.400000
1.050000 0.003400 109499.000000 -0.600000
1.050000 -0.003400 49519.000000 0.000000
1.050000 -0.003400 49519.000000 -0.200000
1.050000 -0.003400 49519.000000 0.200000
1.050000 -0.003400 49519.000000 -0.400000
1.050000 -0.003400 49519.000000 0.400000
1.050000 -0.003400 49519.000000 -0.600000
1.050000 0.003600 109499.000000 0.000000
1.050000 0.003600 109499.000000 -0.200000
1.050000 0.003600 109499.000000 0.200000
1.050000 0.003600 109499.000000 -0.400000
1.050000 0.003600 109499.000000 0.400000
1.050000 0.003600 109499.000000 -0.600000
1.050000 -0.003600 49519.000000 0.000000
1.050000 -0.003600 49519.000000 -0.200000
1.050000 -0.003600 49519.000000 0.200000
1.050000 -0.003600 49519.000000 -0.400000
1.050000 -0.003600 49519.000000 0.400000
1.050000 -0.003600 49519.000000 -0.600000
1.050000 0.003800 109499.000000 0.000000
1.050000 0.003800 109499.000000 -0.200000
1.050000 0.003800 109499.000000 0.200000
1.050000 0.003800 109499.000000 -0.400000
1.050000 0.003800 109499.000000 0.400000
1.050000 0.003800 109499.000000 -0.600000
1.050000 -0.003800 49519.000000 0.000000
1.050000 -0.003800 49519.000000 -0.200000
1.050000 -0.003800 49519.000000 0.200000
1.050000 -0.003800 49519.000000 -0.400000
1.050000 -0.003800 49519.000000 0.400000
1.050000 -0.003800 49519.000000 -0.600000
1.050000 0.004000 22392 0.000000
1.050000 0.004000 22392 -0.400000
1.050000 0.004000 22392 0.400000
1.050000 -0.004000 22457 0.000000
1.050000 -0.004000 22457 -0.400000
1.050000 -0.004000 22457 0.400000
1.050000 -0.004000 49519.000000 0.000000
1.050000 -0.004000 49519.000000 -0.200000
1.050000 -0.004000 49519.000000 0.200000
1.050000 -0.004000 49519.000000 -0.400000
1.050000 -0.004000 49519.000000 0.400000
1.050000 -0.004000 49519.000000 -0.600000
1.050000 0.004000 49563.000000 0.000000
